epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4612,2.03937,3.72641,3.77987,1.95977,0.12206,0.15616,0.05644,0.01847,0.0411,0.04658,0.00591,0.00098,2.72929,5.54894,5.4344,3.14913,0.000649123,0.000649123,0.000649123
2,24.1537,2.06669,2.78955,2.47703,1.8958,0.00149,0.02466,0.00036,0.00011,0.00024,0.00274,3e-05,0,4.1019,18.7409,125.354,8.24989,0.00128974,0.00128974,0.00128974
3,34.1963,2.17923,2.8345,2.53527,2.02322,0.00823,0.01644,0.0008,0.00025,0.00433,0.01096,0.00018,4e-05,3.80945,153.901,12.9865,9.5229,0.00190395,0.00190395,0.00190395
4,44.5469,2.04984,2.70338,2.38777,1.92225,0.01221,0.15342,0.00463,0.00123,0.00237,0.02466,0.00051,0.0001,3.46018,4.43602,54.6061,4.47735,0.0018812,0.0018812,0.0018812
5,54.5616,1.95731,2.64135,2.29342,1.86432,0.07701,0.16986,0.04007,0.01448,0.05284,0.09863,0.0161,0.00347,2.59797,3.43048,8.68862,2.73424,0.0018416,0.0018416,0.0018416
6,64.675,1.94623,2.76674,2.32146,1.8448,0.09155,0.18356,0.05605,0.01864,0.03758,0.14521,0.02236,0.00452,2.57395,2.97172,21.8045,2.62524,0.001802,0.001802,0.001802
7,74.7274,1.88252,2.64475,2.24203,1.79609,0.07817,0.1726,0.03906,0.01452,0.07853,0.05205,0.01558,0.00336,2.56388,2.75154,9.84703,2.53757,0.0017624,0.0017624,0.0017624
8,84.3656,1.91345,2.59725,2.16383,1.78156,0.17942,0.24384,0.12066,0.04526,0.1604,0.13425,0.05491,0.01199,2.35028,2.89262,4.24277,2.40446,0.0017228,0.0017228,0.0017228
9,94.5078,1.84693,2.54047,2.14539,1.75351,0.12009,0.25205,0.08118,0.02859,0.06435,0.1589,0.04226,0.01009,2.36612,2.57286,3.94488,2.33442,0.0016832,0.0016832,0.0016832
10,104.64,1.82148,2.53577,2.11051,1.73155,0.1855,0.2411,0.11989,0.05164,0.18624,0.21644,0.10115,0.02496,2.50423,2.21024,3.15514,2.38945,0.0016436,0.0016436,0.0016436
11,115.008,1.79646,2.46887,2.0671,1.70023,0.20565,0.19726,0.12336,0.0538,0.19488,0.14795,0.08862,0.02472,2.25212,3.29822,2.99196,2.17691,0.001604,0.001604,0.001604
12,125.142,1.70722,2.47054,2.03407,1.66392,0.31086,0.33614,0.22263,0.10124,0.2321,0.24384,0.12544,0.02916,2.02699,2.45752,3.03497,2.05835,0.0015644,0.0015644,0.0015644
13,135.175,1.6944,2.45764,1.95889,1.66063,0.33117,0.31781,0.24615,0.10076,0.32772,0.27671,0.18787,0.05247,2.04003,2.09323,2.58275,2.04012,0.0015248,0.0015248,0.0015248
14,145.223,1.64714,2.35325,1.87629,1.59738,0.24889,0.31233,0.19343,0.08174,0.21075,0.26575,0.12559,0.03343,2.01717,2.07972,3.42739,1.97407,0.0014852,0.0014852,0.0014852
15,155.069,1.63642,2.33139,1.89513,1.61395,0.29919,0.36142,0.22175,0.10312,0.23964,0.32055,0.17169,0.04834,1.97631,2.02469,2.44976,2.00137,0.0014456,0.0014456,0.0014456
16,165.106,1.59941,2.39685,1.86232,1.57062,0.39046,0.35342,0.30684,0.12151,0.36488,0.31323,0.23479,0.06736,1.93192,2.09444,2.35954,1.96648,0.001406,0.001406,0.001406
17,175.468,1.56542,2.33269,1.80261,1.56748,0.37176,0.32877,0.25133,0.11013,0.29244,0.25205,0.14399,0.04165,2.00735,2.70593,2.41298,2.04682,0.0013664,0.0013664,0.0013664
18,185.157,1.51264,2.30026,1.74035,1.52091,0.52513,0.39726,0.36168,0.17123,0.44117,0.33973,0.25137,0.08204,1.7891,2.11945,2.11409,1.7925,0.0013268,0.0013268,0.0013268
19,194.974,1.55578,2.36039,1.78489,1.56336,0.36817,0.41644,0.30848,0.14695,0.33092,0.36164,0.25948,0.06863,1.79828,2.14439,2.25973,1.81121,0.0012872,0.0012872,0.0012872
20,204.606,1.55332,2.35,1.75181,1.54308,0.3498,0.3589,0.30621,0.14727,0.34508,0.30959,0.22916,0.06966,1.80073,2.02369,2.48885,1.83819,0.0012476,0.0012476,0.0012476
21,214.666,1.52804,2.24657,1.7357,1.51966,0.39568,0.45384,0.34995,0.17362,0.43056,0.39178,0.30453,0.08384,1.77191,1.93985,2.14357,1.78373,0.001208,0.001208,0.001208
22,224.921,1.48031,2.17747,1.7076,1.48884,0.44717,0.41644,0.32392,0.15538,0.40733,0.35616,0.26798,0.07567,1.84096,1.95726,2.37592,1.79041,0.0011684,0.0011684,0.0011684
23,234.934,1.42837,2.21869,1.66578,1.44111,0.45542,0.40548,0.35717,0.16857,0.35212,0.33425,0.22891,0.07219,1.80725,2.11228,2.13053,1.80633,0.0011288,0.0011288,0.0011288
24,244.799,1.44942,2.21159,1.63978,1.47481,0.45764,0.42466,0.39211,0.19111,0.48264,0.36438,0.33075,0.10329,1.81933,1.91296,2.0319,1.81694,0.0010892,0.0010892,0.0010892
25,254.632,1.44639,2.20086,1.62355,1.45013,0.53292,0.46301,0.43417,0.21593,0.5168,0.40274,0.34713,0.10603,1.64356,1.82811,2.02719,1.64275,0.0010496,0.0010496,0.0010496
26,264.372,1.34217,2.12044,1.52213,1.42412,0.55186,0.4274,0.4179,0.20588,0.50438,0.38755,0.33777,0.11041,1.76596,1.96789,2.05268,1.75283,0.00101,0.00101,0.00101
27,273.911,1.40552,2.14329,1.58299,1.45952,0.50975,0.46149,0.43036,0.22366,0.49802,0.39685,0.3734,0.11193,1.66019,1.87803,1.86961,1.71138,0.0009704,0.0009704,0.0009704
28,283.815,1.39071,2.15099,1.5898,1.45062,0.47165,0.49863,0.4096,0.20532,0.45412,0.38356,0.33621,0.09801,1.63243,1.8738,2.01959,1.64117,0.0009308,0.0009308,0.0009308
29,293.389,1.37514,2.10178,1.55815,1.43842,0.48294,0.48767,0.4691,0.23649,0.50196,0.4501,0.39777,0.12855,1.72151,1.82561,1.86901,1.7265,0.0008912,0.0008912,0.0008912
30,303.467,1.35281,2.1331,1.53023,1.42706,0.57174,0.48493,0.45707,0.23756,0.5244,0.44105,0.36947,0.11924,1.67742,1.90796,1.92422,1.66695,0.0008516,0.0008516,0.0008516
31,313.057,1.34794,2.07827,1.48344,1.41239,0.50551,0.46301,0.43224,0.22151,0.50178,0.39726,0.35644,0.10283,1.64372,2.59211,1.84646,1.66226,0.000812,0.000812,0.000812
32,322.565,1.28646,2.07225,1.48591,1.40099,0.51705,0.48105,0.44726,0.23373,0.53927,0.3863,0.36956,0.11954,1.64695,1.84693,1.81248,1.62817,0.0007724,0.0007724,0.0007724
33,332.137,1.33757,2.21581,1.50239,1.41552,0.52168,0.50137,0.45578,0.23066,0.51244,0.45205,0.38134,0.12411,1.58779,1.85925,1.80686,1.60942,0.0007328,0.0007328,0.0007328
34,341.777,1.27338,2.12552,1.45163,1.38737,0.56844,0.45205,0.43542,0.22747,0.50754,0.43201,0.38321,0.12244,1.64167,1.93884,1.91107,1.68355,0.0006932,0.0006932,0.0006932
35,351.62,1.26895,2.09606,1.44172,1.37665,0.50653,0.48767,0.43324,0.22794,0.49056,0.44384,0.34379,0.10336,1.58953,1.83462,1.78772,1.62709,0.0006536,0.0006536,0.0006536
36,361.237,1.27005,2.09426,1.42914,1.37633,0.54266,0.49041,0.48143,0.26821,0.51272,0.45205,0.42278,0.14073,1.54365,1.84296,1.72135,1.63101,0.000614,0.000614,0.000614
37,371.018,1.26821,2.03906,1.44586,1.38137,0.53385,0.50685,0.48094,0.27492,0.50478,0.48493,0.41476,0.13445,1.54841,1.80122,1.73098,1.58886,0.0005744,0.0005744,0.0005744
38,380.797,1.28051,2.05551,1.43273,1.39261,0.612,0.50128,0.47235,0.26162,0.5237,0.47123,0.40933,0.13302,1.53604,1.78201,1.71101,1.56511,0.0005348,0.0005348,0.0005348
39,390.434,1.26602,2.0104,1.37071,1.36597,0.52137,0.50685,0.46202,0.25944,0.55546,0.44161,0.39673,0.13477,1.51284,1.75299,1.75009,1.54085,0.0004952,0.0004952,0.0004952
40,400.055,1.24377,2.01182,1.34028,1.33431,0.5621,0.51697,0.48939,0.27818,0.54885,0.48767,0.42931,0.14184,1.473,1.74277,1.67884,1.51925,0.0004556,0.0004556,0.0004556
41,422.706,1.41455,1.88702,1.68904,1.58649,0.57802,0.48767,0.50032,0.29027,0.5229,0.43836,0.37955,0.13186,1.42205,1.80853,1.7373,1.49516,0.000416,0.000416,0.000416
42,432.371,1.33638,1.82288,1.53446,1.54593,0.56325,0.52645,0.50994,0.30211,0.53491,0.4411,0.40999,0.14274,1.40222,1.74648,1.68874,1.45495,0.0003764,0.0003764,0.0003764
43,441.968,1.34629,1.84982,1.56441,1.52997,0.6403,0.51233,0.52372,0.30827,0.58332,0.45205,0.43088,0.14925,1.38304,1.76363,1.6533,1.45424,0.0003368,0.0003368,0.0003368
44,451.535,1.26967,1.76748,1.43496,1.48906,0.59726,0.55256,0.55166,0.32393,0.56683,0.51507,0.47466,0.15938,1.3528,1.72677,1.52643,1.41461,0.0002972,0.0002972,0.0002972
45,461.513,1.26592,1.76899,1.46743,1.4852,0.63239,0.49041,0.5291,0.32387,0.65609,0.44932,0.43867,0.14995,1.3648,1.7501,1.60098,1.42257,0.0002576,0.0002576,0.0002576
